city,date,fare,ride_id
New Paulton,2/20/2019,24.29,7738134446199
South Evanton,4/28/2019,22.86,7585355194527
North Jasmine,1/22/2019,31.68,712301571386
West Anthony,3/17/2019,35.42,4561324147940
Jerryton,4/29/2019,41.27,902958428816
Grahamburgh,1/9/2019,13.55,5462604726666
South Jack,3/30/2019,4.2,4817670763151
West Christopherberg,1/23/2019,30.93,5335678989278
Lake Scottton,3/26/2019,9.79,1827900502613
West Patrickchester,1/14/2019,24.82,5934939559689
Royland,1/17/2019,27.92,3147266211478
South Karenland,2/14/2019,39.53,2861641294573
Erikaland,3/27/2019,36.52,2195945483563
Rodneyfort,3/20/2019,42.57,6354946184466
Williamsstad,5/1/2019,26.81,4542954169892
Richardfort,2/13/2019,14,910050116494
West Ericstad,1/25/2019,20.03,3276480043173
Grahamburgh,3/5/2019,4.33,803728527251
North Barbara,5/4/2019,24.09,9275090570165
West Robert,1/4/2019,35.35,9554287895527
Justinberg,3/14/2019,36.32,6771691925128
South Michelleport,3/3/2019,41.62,2339775503972
North Jasmine,2/22/2019,25.33,1319966936025
Barajasview,3/1/2019,28.25,7225827834994
Carriemouth,4/4/2019,12.91,4276692439725
Amandaburgh,2/24/2019,43.66,6573820412437
Johnton,3/27/2019,18.89,3634068282558
Port Angela,3/4/2019,40.35,4930810733132
Rodneyfort,5/6/2019,27.16,3765495922622
Amandaburgh,2/10/2019,36.17,6455620849753
North Madeline,2/25/2019,13.58,4932836345153
West Angela,3/1/2019,30.3,9673529276907
Joneschester,1/3/2019,25.47,5540177253069
Joneschester,1/3/2019,17.97,5439310968925
South Phillip,1/29/2019,35.23,7418234487567
Liumouth,3/30/2019,4.66,3164443361610
West Anthony,1/10/2019,32.34,1479317039864
North Jason,2/26/2019,13.88,2494980859402
North Jason,3/21/2019,10.42,6601538015784
Carriemouth,4/28/2019,11.46,6991852632799
Huntermouth,5/4/2019,36.77,7186624075617
South Phillip,4/18/2019,39.95,9719024631848
South Jack,2/1/2019,28.37,3372008354124
Port Johnbury,5/5/2019,25.3,2541021070088
South Phillip,5/6/2019,43.43,2435201344352
North Jasmine,4/10/2019,38.24,2954995327773
South Michelleport,1/27/2019,15.45,7465262064048
North Madeline,4/7/2019,32.99,1819348275778
Christopherfurt,2/24/2019,40.33,9584185927129
Williamsstad,2/23/2019,4.68,9109973457376
Martinezhaven,4/18/2019,34.7,2023088734313
Simpsonburgh,4/3/2019,4.74,8556334983479
New Jacobville,2/4/2019,27.63,4329146429572
South Karenland,2/12/2019,5.78,8890444520323
Royland,1/27/2019,24.56,9656712323480
Karenside,1/22/2019,24.72,5326728612017
West Robert,5/5/2019,10.15,9392183503517
Port Samanthamouth,4/27/2019,12.84,5659906087636
West Samuelburgh,3/7/2019,14.55,7160360480942
New Kimberlyborough,3/29/2019,42.51,8296939454553
Port David,3/27/2019,15.64,5338482988567
Karenside,3/18/2019,36.96,7605140597934
New Paulton,2/8/2019,39.65,8505964159174
West Ericstad,1/8/2019,32.99,6688341118130
Port Johnbury,3/21/2019,32.8,5450926790120
Port Samanthamouth,3/27/2019,16.05,1412275851963
Port Frank,1/8/2019,42.13,2099160507410
Lake Jonathanshire,4/6/2019,16.84,6164453571846
West Angela,2/5/2019,36.37,7832434584190
Port Samanthamouth,3/27/2019,21.46,9991537657885
North Madeline,3/4/2019,21.38,9544488245764
Williamsview,1/15/2019,44.33,4627033032394
Grahamburgh,2/21/2019,22.65,816396119895
South Evanton,3/6/2019,30.87,5811915354455
Loganberg,3/27/2019,4.72,6120689505628
Carriemouth,2/21/2019,44.18,4528590417948
Port David,1/2/2019,7.45,6148349878448
West Heidi,1/30/2019,30.84,8936556138183
Williamsstad,3/5/2019,25.02,1313211827663
North Barbara,2/4/2019,42.59,4971254409177
Lake Danielberg,3/17/2019,10.18,4714399161872
North Markport,4/13/2019,20.09,4311213165551
Port Angela,5/2/2019,35.76,7945958687114
Port Samanthamouth,3/15/2019,25.97,7725957367534
West Angela,5/3/2019,24.07,7808186044800
Leahton,2/21/2019,24.13,6759666489394
North Markport,4/28/2019,40.46,2567890241480
Karenside,3/9/2019,40.86,1757540646784
Jerryton,1/7/2019,7.86,707330492023
South Michelleport,4/14/2019,37.93,1533269357947
Valentineton,3/25/2019,22.53,2335054032577
East Kaylahaven,4/9/2019,10.03,8036811423686
Erikaland,4/13/2019,25.22,4847173431127
West Christopherberg,1/8/2019,37.78,8767059547253
Pattyland,2/1/2019,32.03,2850242716720
Deanville,2/8/2019,21.22,4786811969861
West Christopherberg,3/21/2019,43.87,5085480897932
Justinberg,3/23/2019,30.58,3503303797228
Lake Danielberg,2/24/2019,34.82,2442272882270
Port Samanthamouth,1/30/2019,38.78,6119834234421
Lake Danielberg,2/28/2019,44.96,6319592522765
Deanville,4/15/2019,24.3,1065303121400
Pattyland,2/15/2019,44.03,1556659025684
Karenside,1/27/2019,7.65,473229767373
Port Angela,4/22/2019,7.91,6767308381142
West Angela,4/14/2019,32.77,4995732310908
South Karenland,3/26/2019,35.5,1482388219714
New Jacobville,2/18/2019,39.97,8028701861067
Roberthaven,3/14/2019,36.84,4123408925006
Lake Scottton,4/24/2019,5.31,9668336101351
Amandaburgh,1/11/2019,29.24,7279902884763
Reynoldsfurt,5/5/2019,14.95,1404730379464
West Patrickchester,2/9/2019,16.1,9112333244288
Christopherfurt,4/13/2019,37.22,3288049380261
South Evanton,4/27/2019,27.78,9377577941892
Lake Scottton,2/7/2019,10.76,4201252290232
Roberthaven,3/14/2019,35.27,4034558003134
Rodneyfort,3/4/2019,28.69,275697942784
West Josephberg,2/17/2019,41.49,2821329685338
Lake Jonathanshire,3/21/2019,37.95,8353656732934
Simpsonburgh,2/5/2019,25.58,2038696705617
West Heidi,3/19/2019,5.65,2474790192418
North Barbara,3/23/2019,23.76,5550267040448
North Jasmine,3/11/2019,37.93,4221378334009
West Gabriel,4/29/2019,36.7,4103498186235
Liumouth,4/14/2019,31.63,6166289534408
Carriemouth,3/2/2019,28.04,5138542326977
West Robert,3/24/2019,34.9,9472333753457
North Jasmine,5/2/2019,29.86,3198992800658
Carriemouth,3/21/2019,44.64,9560844852216
Lake Scottton,2/15/2019,22.75,8382035977413
North Madeline,4/12/2019,7.77,9273340476908
Lake Danielberg,1/7/2019,17.39,4355535554709
North Madeline,4/30/2019,37.48,2508127842117
Port David,1/7/2019,20.49,5846260665949
Royland,2/11/2019,30.41,7200099766471
West Samuelburgh,2/20/2019,19.65,6623791282079
West Angela,3/18/2019,34.05,5332405801414
West Patrickchester,3/6/2019,32.37,3684669591726
Port Frank,2/5/2019,20.1,4443074322856
New Kimberlyborough,2/9/2019,39.55,6010050950112
Justinberg,4/20/2019,29.07,209654592347
West Angela,4/18/2019,16.18,5770095626762
Justinberg,3/10/2019,37.89,5563129650174
Valentineton,1/10/2019,19.91,774511223608
Williamsview,4/7/2019,18.92,23948941587
South Jack,1/31/2019,21.75,6971155853312
Port Frank,2/18/2019,39.06,7301845642275
Leahton,2/13/2019,16.79,4744794513785
South Michelleport,2/22/2019,22.52,8522744579472
South Karenland,4/25/2019,24.86,1307706550174
Richardfort,2/16/2019,17.92,820639054416
Williamsstad,4/16/2019,23.12,969457753191
South Michelleport,2/12/2019,27.7,5582884622172
West Patrickchester,4/13/2019,33.33,1834060234971
Martinezhaven,4/18/2019,5.81,2124254219877
North Jason,1/23/2019,21.95,6701800897657
North Jason,4/18/2019,22.42,4927790361844
Lake Scottton,5/3/2019,9.01,1289762706583
West Christopherberg,3/1/2019,11.97,6422545841490
North Markport,4/10/2019,38.02,8834525256657
Christopherfurt,4/9/2019,29.96,9825842278797
North Madeline,1/29/2019,17.57,2596456211339
Richardfort,2/1/2019,10.26,9554935945413
South Phillip,1/25/2019,38.15,3599156329334
East Kaylahaven,2/11/2019,43.19,8671036380224
Rodneyfort,4/11/2019,36.3,9048909984411
Pattyland,4/26/2019,19.99,8827777964944
South Karenland,3/24/2019,41.44,604857308441
Port David,3/24/2019,28.84,5266776204034
Rodneyfort,3/10/2019,29.13,4634913853499
New Paulton,2/2/2019,17.19,8500434852265
Williamsstad,3/12/2019,18.67,2161825345900
South Michelleport,1/29/2019,9.79,5529055605923
West Christopherberg,3/21/2019,21.41,7703401822129
Lake Scottton,3/25/2019,36.92,7043639906896
Port Angela,3/19/2019,17.21,1694214658257
Christopherfurt,4/17/2019,32.39,653651735748
Joneschester,2/27/2019,33.34,2386091007509
Loganberg,1/25/2019,26.03,9123752490460
South Phillip,2/19/2019,33.07,8518162252523
Deanville,1/23/2019,42.45,7286207597519
New Kimberlyborough,1/30/2019,29.09,8587116438511
Port Johnbury,4/11/2019,9.1,7804751879143
West Patrickchester,4/19/2019,44.5,8638322986256
West Robert,1/11/2019,5.16,1592591668312
New Paulton,3/28/2019,14.94,3703489461658
South Latoya,3/19/2019,31.72,363818381250
Robertport,2/18/2019,43.47,7995689882173
Valentineton,1/19/2019,6.71,9052705381572
South Latoya,1/18/2019,10.98,7144193668593
Simpsonburgh,1/12/2019,24.83,3151662422628
West Patrickchester,2/12/2019,22.64,4553727088647
Richardfort,4/17/2019,23,720020655850
Hurleymouth,2/20/2019,17.07,7023698303898
Leahton,1/27/2019,29.36,2921814447813
West Anthony,4/29/2019,27.04,4375353573218
New Kimberlyborough,1/5/2019,39.47,2812686066656
South Latoya,3/19/2019,40.29,660212576580
Williamsstad,4/12/2019,17.57,7099676230210
South Karenland,2/1/2019,31.64,9377347717139
North Jason,4/16/2019,24.07,9726118672366
West Angela,1/27/2019,9.24,2623127281275
Lake Danielberg,2/8/2019,10.31,2464526787162
Port Samanthamouth,4/6/2019,24.18,8484624581374
New Jacobville,2/9/2019,37.51,5692071338561
New Kimberlyborough,3/10/2019,10.83,1558582913618
New Kimberlyborough,1/8/2019,13.34,626984358861
Karenberg,3/5/2019,44.1,9226782716583
South Phillip,4/11/2019,21.06,4832097145304
Loganberg,1/20/2019,38.66,7239150907201
Carriemouth,5/1/2019,10.97,8792105073561
West Patrickchester,1/21/2019,19.44,2088367820569
Martinezhaven,2/7/2019,4.31,9333328117367
Karenside,1/8/2019,22.64,2411622219363
North Jason,3/24/2019,32.72,7960288695592
Lake Danielberg,3/28/2019,28.53,9808251785117
Pattyland,4/3/2019,14.06,5399011565161
Pattyland,2/21/2019,7.06,5808457670013
Loganberg,1/11/2019,44.34,1376539129772
Leahton,2/28/2019,9.08,8197500470005
Reynoldsfurt,1/17/2019,24.84,5000179618056
Raymondhaven,2/22/2019,7.64,7311722757336
South Latoya,2/12/2019,5.54,839760150140
Lake Scottton,1/18/2019,31.92,5706292854110
Port David,2/24/2019,35.63,3354533588717
Roberthaven,4/5/2019,31.09,1016221662728
Rogerston,3/24/2019,39.6,9196190355530
Karenberg,4/27/2019,44.73,3800715746753
Martinezhaven,4/14/2019,32.57,971301770681
South Evanton,1/20/2019,25.94,3431712132166
North Jasmine,4/26/2019,35.33,6857334790152
Hurleymouth,1/12/2019,10.64,8125602737085
West Robert,3/7/2019,12.22,2705603518423
Deanville,4/21/2019,33.37,7763075637368
South Michelleport,1/9/2019,10.68,3236914422707
Royland,2/2/2019,42.52,7835417212110
Rodneyfort,4/10/2019,25.4,9060368477501
North Madeline,1/12/2019,20.82,8114793919394
Lake Danielberg,4/28/2019,39.82,7889097267847
Port Johnbury,5/2/2019,42.42,3245384693395
Richardfort,4/21/2019,9.54,3698147103219
Liumouth,3/22/2019,33.1,3678560093519
Roberthaven,1/21/2019,23.14,4939144549549
Amandaburgh,1/21/2019,9.26,5528427024492
South Evanton,4/25/2019,26.84,1539243695029
Port Samanthamouth,3/25/2019,34.94,821746998655
South Michelleport,3/13/2019,10.44,5684862759907
North Madeline,1/14/2019,31.88,8713001121613
Hurleymouth,3/17/2019,29.95,5225181132639
Port David,4/10/2019,26.68,5361385420513
Pattyland,2/10/2019,24.39,7264853866807
Liumouth,3/17/2019,19.05,9118269983987
Robertport,4/3/2019,15.14,6669724727514
Hurleymouth,4/1/2019,9.94,4063425632467
West Samuelburgh,4/17/2019,15.03,4021528530189
South Phillip,3/18/2019,17.57,8431004701020
West Josephberg,1/29/2019,7.58,6142965001815
Roberthaven,2/16/2019,14.95,6653679183105
West Christopherberg,3/27/2019,21.55,2201807083816
Christopherfurt,3/30/2019,31.3,7457133283931
Hurleymouth,2/1/2019,22.39,6071733738137
Port Frank,3/16/2019,30.24,1454211942922
Lake Danielberg,1/16/2019,20.07,8448605657090
West Ericstad,3/28/2019,22.28,3135272644045
Karenside,3/11/2019,44.29,3269160721454
South Evanton,3/17/2019,36.31,2783523386780
West Heidi,5/5/2019,37.75,3646773323549
Robertport,2/28/2019,13.39,681044064878
South Jack,1/5/2019,13.14,6809752015805
West Josephberg,2/28/2019,11.1,3529532452493
Port Frank,3/26/2019,28.83,889804632019
Barajasview,2/19/2019,26.83,937248382509
Justinberg,1/3/2019,5.81,9261156860363
North Barbara,4/17/2019,39.18,3503287273107
West Angela,3/8/2019,4.92,5445148182471
South Latoya,3/19/2019,30.03,9560331347461
Hurleymouth,1/18/2019,4.66,8622877858946
Johnton,4/5/2019,22.87,1030619542522
Carriemouth,3/27/2019,38.69,4407120983828
Reynoldsfurt,4/19/2019,13.63,7990078064277
Christopherfurt,3/16/2019,19.61,2290365678398
Liumouth,4/28/2019,5.42,8026921363989
New Kimberlyborough,3/19/2019,15.78,6414956560879
Martinezhaven,3/7/2019,23.55,7385334795420
East Kaylahaven,4/6/2019,35.79,8930600376156
Simpsonburgh,4/26/2019,33.71,2597478534819
Lake Jonathanshire,1/28/2019,5.67,9756573174778
Robertport,4/19/2019,39.57,3970344404659
South Karenland,3/20/2019,33.24,3097268591514
Raymondhaven,3/7/2019,17.66,9257559713061
Port David,2/18/2019,20.16,1847433349462
Royland,2/20/2019,38.28,3616647988532
East Kaylahaven,1/29/2019,41.62,7157222598785
Valentineton,2/23/2019,19.99,9658410514993
Martinezhaven,3/12/2019,21.18,4046813358675
South Phillip,2/19/2019,28.62,4408026801766
Royland,5/4/2019,15.14,4988285663911
West Heidi,2/5/2019,24.32,426277253824
East Kaylahaven,2/28/2019,33.72,1224917954969
New Kimberlyborough,4/3/2019,14.73,9083112202235
South Karenland,1/10/2019,37.58,7165967611782
Richardfort,2/3/2019,29.04,4982665519010
Justinberg,3/10/2019,22.43,5552741571929
Huntermouth,3/21/2019,32.42,3393252517981
Roberthaven,3/22/2019,34.69,1772989496998
West Heidi,3/11/2019,43.45,4654877028801
Raymondhaven,2/17/2019,39.7,3251742665126
Karenside,4/16/2019,39.32,3155939101247
Rogerston,3/16/2019,43.82,4718959573846
Port Johnbury,4/28/2019,36.42,273965502753
West Josephberg,1/18/2019,43.85,9654655899765
North Jasmine,2/5/2019,19.21,6785090593864
Loganberg,4/10/2019,35.97,8828009078941
Barajasview,4/15/2019,17.76,8098247711287
New Paulton,4/17/2019,44.43,338360694028
West Angela,1/19/2019,40.4,740626207222
North Jasmine,2/18/2019,31.49,9759084210607
North Barbara,2/11/2019,43.26,8973500869212
Rogerston,3/2/2019,25.14,1722619288127
Williamsstad,2/21/2019,4.9,7176452471538
South Jack,1/14/2019,40.65,5440570608100
West Anthony,4/15/2019,43.82,4381502138184
Royland,2/12/2019,44.33,5324586781265
West Angela,4/3/2019,23.52,4843054118477
Liumouth,2/22/2019,6.39,8116526250811
Amandaburgh,4/19/2019,6.27,4400632718421
West Ericstad,1/23/2019,10.12,8035850217034
South Jack,1/15/2019,5.58,1793901526227
Barajasview,5/2/2019,17.12,4628923040888
Amandaburgh,3/20/2019,27.45,3701008274871
East Kaylahaven,3/17/2019,8.62,1953430308989
Port Samanthamouth,1/27/2019,28.46,882650442979
New Paulville,1/25/2019,15.04,7529441865090
West Anthony,4/3/2019,10.56,3762871811396
Raymondhaven,1/6/2019,21.19,9473615555967
Rogerston,1/3/2019,36.28,7090350986768
Port David,4/2/2019,41.14,2694440573613
North Markport,2/8/2019,34.69,2742194758388
West Angela,3/4/2019,20.72,1784730761330
South Michelleport,4/21/2019,21.98,5893808238950
Port Frank,2/10/2019,40.82,6386241535933
Rogerston,2/14/2019,19.42,8770692552959
Joneschester,4/2/2019,10.52,4970367967024
South Karenland,3/17/2019,23.26,556550826022
West Angela,5/5/2019,23.66,9188266805735
Royland,2/10/2019,11.24,4949540975576
Christopherfurt,1/30/2019,6.32,4289780319755
Barajasview,4/9/2019,39.36,1801612492097
Christopherfurt,2/8/2019,25.76,951780836764
Leahton,1/13/2019,9.37,4669655714135
Port Angela,4/15/2019,20.16,6490089576161
Loganberg,1/13/2019,41.86,7045605197277
West Heidi,2/24/2019,40.8,4274249900056
Robertport,2/24/2019,8.48,2892772641554
Karenside,3/14/2019,16.31,8818349412178
West Christopherberg,3/20/2019,42.83,6898409001667
West Gabriel,1/15/2019,13.38,7560918647139
Simpsonburgh,4/1/2019,25.65,2869643436519
West Robert,5/4/2019,5.36,9799481382484
Loganberg,2/17/2019,44.47,3541067049177
West Anthony,4/20/2019,11.85,4274669968599
Jerryton,5/1/2019,4.97,8096395372343
North Jasmine,3/4/2019,42.58,8864577115428
North Madeline,1/26/2019,5.59,3676436575718
Royland,3/25/2019,7.09,5660295214299
New Paulton,1/21/2019,18.3,3721166159643
Richardfort,2/8/2019,16.55,2270463070874
Barajasview,2/3/2019,39.39,9437995336707
Pattyland,4/18/2019,28.66,2342400848379
West Christopherberg,2/17/2019,4.4,4353113095330
Grahamburgh,2/25/2019,14.51,6157111914475
New Kimberlyborough,4/11/2019,12.01,135528560801
North Madeline,5/2/2019,11.94,7526664843423
Simpsonburgh,4/12/2019,22.45,7811391600020
Martinezhaven,2/16/2019,15.33,9810609975378
West Heidi,3/30/2019,11.15,2264871572013
Christopherfurt,4/12/2019,22.91,5928118050739
Karenside,4/28/2019,39.41,4711188257853
Rogerston,4/1/2019,28.54,9963100218298
West Samuelburgh,2/19/2019,17.77,7608984799120
Joneschester,3/17/2019,15.35,2307172112042
